B02,B03,B04,B08,class
1606,2661,1389,21600,forest
2071,4096,2667,22465,forest
1455,2680,1252,25277,forest
1357,2228,1081,17832,forest
1992,3539,2032,24058,forest
1612,2431,1337,20172,forest
2392,2615,3316,5125,forest
1481,1999,1055,15578,forest
1481,2451,1278,20788,forest
3133,3382,4168,6822,forest
1619,3021,1442,23330,forest
1212,1894,1009,12543,forest
3067,3467,4188,6239,forest
2143,3814,2431,19595,forest
1422,2589,1239,26391,forest
1481,2418,1167,22406,forest
1671,2779,1540,21522,forest
2051,3401,2720,15755,forest
1402,2123,1160,19333,forest
1088,1717,917,18586,forest
2163,4129,2733,21043,forest
1743,3165,1730,20814,forest
1632,3467,1678,19936,forest
1330,2176,1049,19123,forest
1416,2438,1317,23062,forest
1402,2458,1062,19071,forest
1684,3146,1606,22098,forest
2510,3998,3028,17445,forest
2005,3473,1763,30402,forest
2045,3821,2287,22288,forest
1370,2209,1199,16325,forest
1527,2477,1265,24962,forest
1540,2353,1199,19529,forest
1737,3395,1704,24956,forest
2975,4666,3224,18140,forest
1743,3368,1704,25532,forest
1448,2549,1271,19044,forest
1108,1579,898,13723,forest
2621,3113,3696,6344,forest
1173,1914,1370,16181,forest
2523,5059,3021,25375,forest
2163,4037,2176,25585,forest
1599,2870,1593,22053,forest
1593,2490,1278,20761,forest
2897,3801,3486,10282,forest
1612,2929,1553,22328,forest
1999,3998,2169,24379,forest
1357,2097,1088,14811,forest
1396,2110,1075,18153,forest
2110,2418,2838,5793,forest
1343,2294,1186,14385,forest
2097,4168,2307,26555,forest
1284,2254,1153,19202,forest
1927,3074,1632,22728,forest
3572,4194,5269,8100,forest
1638,2884,1520,22000,forest
1416,2254,1114,21030,forest
1461,2228,1114,18625,forest
2353,4155,2995,19923,forest
1337,2143,1075,19431,forest
1350,2320,1160,20145,forest
3087,3604,4443,7890,forest
1920,3460,1678,26633,forest
2870,3139,4030,5983,forest
1999,3604,1979,25559,forest
1645,2779,1461,18612,forest
1343,2549,1258,24012,forest
1710,2497,1481,22229,forest
1507,2392,1298,20945,forest
1363,2595,1219,23140,forest
2687,4797,3395,22197,forest
1343,2340,1199,19785,forest
3277,3794,4011,7694,forest
1593,2654,1284,25801,forest
1284,2077,983,21384,forest
2707,3827,3211,12465,forest
1317,2032,1088,16980,forest
2320,2582,3034,4666,forest
1966,3821,1901,24091,forest
