B02,B03,B04,B08,class
1219,2530,1252,29255,forest
2372,3893,3683,14234,forest
1769,3762,2641,18350,forest
1501,2811,1376,20997,forest
1193,2274,1343,18402,forest
2110,5066,2418,23855,forest
1442,3473,1796,26686,forest
1324,2654,1606,21024,forest
1927,3355,2667,13697,forest
2032,3703,2766,16331,forest
1553,3251,1638,25873,forest
1547,3375,1927,24012,forest
1435,3133,1579,20526,forest
1501,3572,2110,21469,forest
1632,4279,1743,33239,forest
2123,3552,3303,12976,forest
1599,3224,2071,21548,forest
1743,3539,2300,19379,forest
1599,3709,2136,21181,forest
2517,3958,3919,13697,forest
2458,3814,4810,11298,forest
1835,4404,2385,21810,forest
1684,3552,2399,18435,forest
1632,3395,2005,25087,forest
1481,3742,1658,21050,forest
1881,3932,2110,21076,forest
2956,4404,5859,10748,forest
1383,3572,1756,24851,forest
1828,3093,2163,17354,forest
2464,3696,4338,11102,forest
1324,2713,1547,20394,forest
1461,3257,1501,26240,forest
1651,3677,2156,21862,forest
3303,4627,4673,15506,forest
1304,3211,1809,22623,forest
2051,4836,2045,31745,forest
2693,5177,3788,21312,forest
1678,3840,2268,20997,forest
1416,3362,1475,28364,forest
1429,3257,1750,23671,forest
1127,2667,1212,28232,forest
1789,4247,2372,25139,forest
1455,2477,1527,20342,forest
1874,4312,2254,22282,forest
2923,4214,5852,10774,forest
1684,3742,2333,19634,forest
2051,3971,3447,13946,forest
1868,3618,2418,19661,forest
1265,2353,1311,17760,forest
1219,2635,1507,22990,forest
2372,3945,4148,11980,forest
2720,3998,5276,9109,forest
1507,3486,2313,18343,forest
1022,2549,1271,21915,forest
1933,3290,2353,19044,forest
3270,5027,6003,14221,forest
2569,3867,3611,15322,forest
2910,4194,5164,11062,forest
1101,2621,1271,26240,forest
1232,2661,1769,17413,forest
1389,3500,1448,23252,forest
2268,3486,3998,10033,forest
1481,2943,1691,20001,forest
1632,4260,2307,23304,forest
1114,2405,1396,23652,forest
1992,3932,2307,20224,forest
983,2576,1291,18350,forest
1599,4168,1855,28232,forest
2307,4751,2779,26188,forest
983,2543,1101,24589,forest
2379,4902,2733,26031,forest
2392,3801,3991,12334,forest
1534,3421,1579,27105,forest
1357,2346,1363,18822,forest
1455,2674,1468,22570,forest
1042,2884,1114,28128,forest
1042,2595,1232,24110,forest
1671,4201,2464,23619,forest
3788,5138,6003,11993,forest
1992,4430,2785,22806,forest
1874,3421,2372,22911,forest
1350,2726,1363,21207,forest
1953,3906,2517,22098,forest
1553,3447,1645,22701,forest
1448,2772,1435,22518,forest
1763,4050,2956,16240,forest
3578,4817,5439,13225,forest
1245,2674,1383,17563,forest
1291,2523,1357,16738,forest
1651,3480,1933,25454,forest
1507,3834,1901,23566,forest
1442,3152,1769,25454,forest
1887,3264,2923,13133,forest
1783,3801,2032,23383,forest
1671,3355,1887,22937,forest
950,2444,1219,21751,forest
1861,3932,2412,19294,forest
1402,3119,2032,16266,forest
1278,2517,1343,18717,forest
957,2268,1068,24458,forest
1363,2484,1180,19595,forest
2176,3578,4116,9706,forest
2051,4293,2510,23593,forest
2136,5020,2222,29779,forest
2018,4247,3060,17970,forest
1730,3644,2202,20473,forest
3146,4692,6042,12465,forest
2012,3657,2517,21181,forest
3283,5367,4640,18651,forest
2949,4273,5610,11128,forest
904,2195,990,21174,forest
2503,3998,4247,12910,forest
2045,3290,3165,11954,forest
1730,3500,2589,17498,forest
1835,4614,2412,25742,forest
1658,3467,2307,23278,forest
1638,3624,2687,17773,forest
1887,3932,3368,14562,forest
1363,3008,1566,22701,forest
2412,4469,3781,17996,forest
3002,4456,5335,12504,forest
1861,3513,2628,18101,forest
1252,2641,1409,25913,forest
1789,4273,2654,21469,forest
1769,3657,2654,18442,forest
2988,4784,4207,19778,forest
1710,3683,2497,18927,forest
1337,2720,1330,22570,forest
2012,5276,2058,36490,forest
1343,2713,1324,21758,forest
3041,4496,5931,12124,forest
1507,3945,2143,23933,forest
2097,3572,3139,16620,forest
1199,2503,1363,16738,forest
957,2936,976,35992,forest
2674,4011,3762,13094,forest
577,2235,931,16620,forest
2241,4561,2713,24700,forest
2576,4404,3388,18612,forest
1593,4024,2169,25323,forest
1547,3231,1750,25742,forest
1442,3500,1566,28311,forest
2176,4810,2556,26771,forest
2268,3578,4102,9634,forest
2929,5374,3735,21338,forest
1101,2621,1540,20270,forest
2444,3735,4338,11652,forest
1416,3395,1632,28049,forest
1724,3749,2385,20250,forest
1691,2811,1389,20893,forest
1219,2222,1324,18573,forest
1206,2156,1429,16659,forest
2910,5413,4037,20080,forest
2648,3794,4994,11233,forest
1357,3971,1638,25087,forest
1678,4037,2084,20394,forest
2084,3853,2798,16908,forest
2877,5020,3408,20067,forest
2215,3323,3985,9018,forest
2195,3454,3349,13854,forest
2241,4954,2307,28835,forest
1278,2621,1671,16960,forest
1324,2438,1442,16436,forest
4378,5669,6737,13828,forest
2464,3893,4004,13173,forest
1147,2943,1579,19883,forest
3329,4679,6318,10669,forest
1586,3421,1901,25270,forest
1848,3631,2359,18048,forest
2051,4299,2549,22780,forest
2543,3971,4338,11521,forest
2058,3526,2589,18992,forest
1638,3021,2300,16725,forest
2202,3473,3113,14824,forest
2005,4227,3119,18193,forest
1527,3460,1717,25611,forest
1579,4129,2379,20001,forest
1527,3618,1940,21305,forest
1743,2779,1612,20866,forest
1534,3408,1730,27551,forest
1527,3998,1979,25618,forest
2222,4692,2136,30513,forest
1429,3493,2176,19962,forest
1389,3565,1750,21836,forest
2661,4273,4968,11731,forest
1291,2766,1645,20073,forest
1999,3093,2877,12386,forest
1193,2235,1298,15099,forest
1475,2687,1894,17858,forest
1127,2582,1212,18573,forest
1547,3146,2189,16161,forest
865,2359,1219,22734,forest
1140,2444,1343,23645,forest
1527,3310,1704,24720,forest
1750,3683,2458,17976,forest
1075,2464,1180,23776,forest
950,2268,1193,18127,forest
806,1927,917,20578,forest
1979,3919,2857,16679,forest
1357,2818,1579,16384,forest
2661,3998,4797,10446,forest
1750,3441,2222,24458,forest
1612,3113,2005,20290,forest
1914,3493,2150,22859,forest
3119,4804,6121,12045,forest
1665,3185,2005,20394,forest
1094,2497,1396,22197,forest
1232,2648,1173,19883,forest
1035,2451,1193,23357,forest
1769,3408,2346,19267,forest
1442,3912,1776,25297,forest
2202,3591,2785,21600,forest
2857,4299,5675,11128,forest
1665,3919,2025,30828,forest
1547,2995,1776,20814,forest
2438,4758,3060,20657,forest
2110,3460,3513,13775,forest
1357,3002,1651,19805,forest
1422,3421,1638,19503,forest
1311,2648,1560,17262,forest
1160,2733,1304,29976,forest
1357,2543,1547,18717,forest
2739,4804,3709,19778,forest
2215,3650,4083,12124,forest
2123,4469,2641,22544,forest
3211,4535,6219,10918,forest
1534,3513,1625,28521,forest
2215,5747,2333,39111,forest
1579,3192,1868,22544,forest
924,2857,1029,34819,forest
1887,3441,3067,14660,forest
1828,3467,2621,17373,forest
1101,2772,1278,23724,forest
1396,3060,1691,20198,forest
1835,3473,2431,16934,forest
1396,3028,1769,22072,forest
1232,2209,1337,15663,forest
1599,3513,2458,18428,forest
1737,3801,2458,20650,forest
1717,3139,2195,18494,forest
1986,4902,2071,32289,forest
1468,3840,1789,24654,forest
1298,2490,1389,17786,forest
1324,2543,1416,16017,forest
1710,3172,2405,17629,forest
1468,3539,1606,25847,forest
2163,4561,2123,33082,forest
1350,2490,1566,15453,forest
1658,3618,2372,19012,forest
1743,3303,2104,22256,forest
2667,4024,3958,14811,forest
2018,4823,2576,21260,forest
2058,5610,2359,39400,forest
1855,3683,2870,17852,forest
1992,3486,2975,13173,forest
2182,5223,2123,37381,forest
1468,3618,1874,25919,forest
2916,4627,6055,11534,forest
2903,5400,3775,19202,forest
3146,4306,5492,10420,forest
1894,3270,2313,18691,forest
1520,2870,1494,18022,forest
1180,2857,1461,19582,forest
1828,3434,2595,18114,forest
1029,2870,1357,24694,forest
1566,3467,2307,19411,forest
1101,2497,1258,20342,forest
2392,3775,4181,11796,forest
1809,3565,2477,19949,forest
2110,3552,2569,16135,forest
1966,3867,2464,17445,forest
2169,4299,2975,19503,forest
1619,3473,1691,25008,forest
1783,3683,2477,19883,forest
3342,5302,4732,18782,forest
1959,5033,1992,36483,forest
2359,4083,3047,23226,forest
1560,3329,1750,25113,forest
1737,3880,1953,20211,forest
1258,2477,1343,18651,forest
1540,3270,1861,24458,forest
1311,2857,1442,19621,forest
1737,3513,2307,19267,forest
1422,3211,1678,25559,forest
