B02,B03,B04,B08,class
3329,5027,5223,16882,forest
2811,3867,4096,13920,forest
4096,5852,5846,16482,forest
2274,2582,3375,5086,forest
2136,2425,3139,5027,forest
3781,6101,6455,15250,forest
4876,6390,8225,12786,forest
4142,5629,6173,15624,forest
3480,5210,5223,17727,forest
3899,5767,6121,16423,forest
5171,6245,8113,12792,forest
3480,4122,5223,8670,forest
4299,5715,6167,14424,forest
2209,3368,3408,12176,forest
4017,5767,6226,16423,forest
3939,5859,6567,18442,forest
2209,2621,3408,5321,forest
2189,2497,3283,4954,forest
3735,5525,5911,16266,forest
3598,5426,5570,17950,forest
4653,6134,6416,15309,forest
2143,4109,2569,19602,forest
2182,2680,4076,6285,forest
5158,6449,6730,14608,forest
2143,2949,3427,5918,forest
2202,2621,3644,5380,forest
2235,2746,3493,5282,forest
2746,3368,4325,6822,forest
2156,2674,3251,5531,forest
3303,3840,5125,8074,forest
3762,5027,5839,11947,forest
2261,2582,3211,5072,forest
1907,2700,2635,10112,forest
2215,2615,3316,5151,forest
2228,2779,3532,5105,forest
1737,2956,2071,11206,forest
3729,5230,5551,14758,forest
2294,4155,3093,18337,forest
2189,2543,3192,5053,forest
2497,3539,3237,13015,forest
2346,3264,3008,11567,forest
3460,5354,5459,18638,forest
3133,4030,4922,10656,forest
3028,3637,3591,8880,forest
2209,2536,3382,4987,forest
2897,3526,4542,6953,forest
4220,5780,5800,16987,forest
5315,6331,8487,11744,forest
2503,3185,4109,5898,forest
2143,2693,3467,5210,forest
3919,4863,6088,10577,forest
2379,2811,3618,5380,forest
2353,2726,3591,5374,forest
2969,4758,4135,18094,forest
2392,4089,3224,13055,forest
3408,4430,5453,9365,forest
4699,5774,7353,11213,forest
2202,2759,3434,5295,forest
2156,2641,3401,5177,forest
4004,4941,6187,9090,forest
4437,5511,7111,11921,forest
2294,2857,3539,5197,forest
2176,2582,3283,5033,forest
3735,5472,5669,13769,forest
3074,3919,4817,10086,forest
2477,3637,3342,14385,forest
2189,2562,3329,5092,forest
4194,5767,6167,15158,forest
1999,3893,2569,22387,forest
2851,3414,4594,6901,forest
2045,2628,3211,5197,forest
2844,3539,4345,6914,forest
2254,2825,3637,5472,forest
3545,4850,5420,13015,forest
4974,6999,6114,13186,forest
3500,5171,5282,17170,forest
4161,5505,6560,13697,forest
3395,5007,5485,14031,forest
5262,6698,8592,14614,forest
3919,5544,6101,14680,forest
2399,3165,3945,5643,forest
3336,4961,4430,16784,forest
4201,5702,6101,14686,forest
4037,5741,6291,16102,forest
3178,4889,4974,16128,forest
3349,5000,4889,17341,forest
2661,4371,3794,21207,forest
2241,2595,3447,5203,forest
2988,4594,3703,17885,forest
3729,5564,5905,16462,forest
2228,2595,3277,5138,forest
2241,2739,3559,5308,forest
2943,4411,4155,16816,forest
4155,5937,6750,16744,forest
2857,3991,4463,12301,forest
4646,6049,7589,14431,forest
3834,5505,6324,19005,forest
3545,4319,5361,9358,forest
2176,2536,3087,5125,forest
3159,3722,4928,7510,forest
4404,5839,7071,15728,forest
4260,6003,7130,15617,forest
3454,4823,4850,15938,forest
2425,2766,3565,5394,forest
2635,3251,4220,6632,forest
2379,4168,3454,14562,forest
2005,2641,3218,5348,forest
1612,3375,1769,15427,forest
4954,6521,8408,15584,forest
4044,5597,5800,15466,forest
2064,3644,2720,16397,forest
2929,4679,4135,14870,forest
2248,2635,3454,5223,forest
2169,2621,3119,4922,forest
2923,4227,4627,15846,forest
3768,4889,5937,13048,forest
2209,2569,3067,5086,forest
2366,2648,3467,4922,forest
4214,5741,7006,14667,forest
3978,5177,5734,12321,forest
2104,2359,2949,4587,forest
4771,5747,7543,10918,forest
2307,2811,3519,5387,forest
4266,5315,6357,12602,forest
2045,2477,3211,4771,forest
5302,7137,7248,12747,forest
4148,5380,6429,12347,forest
3460,5341,5236,19464,forest
1455,2739,2058,13671,forest
2150,2543,3178,4836,forest
3526,5328,5105,16960,forest
3735,5138,5702,13146,forest
3034,4568,4771,14123,forest
2379,3735,3598,12760,forest
3886,5846,6475,14201,forest
2150,2562,3244,4968,forest
2490,3264,3185,11495,forest
2182,2490,3310,5059,forest
4057,5584,6114,14267,forest
3532,4987,5354,14509,forest
4365,5885,7170,14641,forest
2326,2759,3578,5177,forest
3598,5321,5453,17085,forest
4574,6147,7340,14791,forest
2798,4338,4129,15545,forest
2628,4201,4057,15663,forest
2045,2576,3414,5335,forest
3801,4548,5695,9201,forest
3565,4384,5590,8795,forest
